Index: 211006, Points: 92.67
Index: 211170, Points: 70.0
Index: 211203, Points: 69.33
Index: 211081, Points: 69.33
Index: 191166, Points: 69.33
Index: 211169, Points: 69.33
Index: 213167, Points: 69.33
Index: 211147, Points: 68.67
Index: 211062, Points: 68.67
Index: 216127, Points: 68.67
Index: 216009, Points: 68.67
Index: 213205, Points: 68.67
Index: 211024, Points: 68.0
Index: 211111, Points: 68.0
Index: 201184, Points: 67.33
Index: 211518, Points: 67.33
Index: 211265, Points: 66.67
Index: 201189, Points: 66.67
Index: 216130, Points: 66.67
Index: 211211, Points: 66.67
Index: 211508, Points: 66.67
Index: 211109, Points: 66.0
Index: 212041, Points: 66.0
Index: 213220, Points: 66.0
Index: 211543, Points: 66.0
Index: 211553, Points: 66.0
Index: 213254, Points: 65.33
Index: 201034, Points: 64.0
Index: 211212, Points: 64.0
Index: 211570, Points: 64.0
Index: 211114, Points: 63.33
Index: 211050, Points: 62.67
Index: 211130, Points: 62.67
Index: 211139, Points: 62.67
Index: 211552, Points: 62.67
Index: 201156, Points: 62.0
Index: 211042, Points: 61.33
Index: 211160, Points: 61.33
Index: 211528, Points: 60.0
Index: 211521, Points: 59.33
Index: 211207, Points: 56.67
Index: 201186, Points: 56.0
Index: 211214, Points: 56.0
Index: 211588, Points: 55.33
Index: 211563, Points: 55.33
Index: 211106, Points: 53.33
Index: 202032, Points: 53.33
Index: 211014, Points: 52.67
Index: 211099, Points: 52.67
Index: 211291, Points: 52.0
Index: 211519, Points: 52.0
Index: 211249, Points: 51.33
Index: 211191, Points: 50.0
Index: 203270, Points: 48.67
Index: 195011, Points: 48.0
Index: 211281, Points: 48.0
Index: 211048, Points: 44.0
Index: 196141, Points: 43.33
Index: 211505, Points: 40.67
Index: 211559, Points: 34.0
